,lata,long,AVG_ghi,AVG_dhi,AVG_dni
0,37.09270145,-108.91987842,236.02739726027397,48.73401826484018,328.0638127853881
1,37.09270145,-108.63912926,235.59383561643835,48.19486301369863,330.32237442922377
2,37.09270145,-108.3583801,234.05399543378996,50.74280821917808,325.3441780821918
3,37.09270145,-108.07763094,230.18961187214612,52.372831050228314,316.0283105022831
4,37.09270145,-107.79688178,228.9931506849315,54.31700913242009,311.383904109589
5,37.09270145,-107.51613262000001,229.38413242009133,54.958675799086755,309.6069634703196
6,37.09270145,-107.23538346000001,226.23447488584475,57.07100456621004,297.60091324200914
7,37.09270145,-106.9546343,227.7002283105023,57.03926940639269,302.9
8,37.09270145,-106.67388514,224.69360730593607,61.085045662100455,297.439497716895
9,37.09270145,-106.39313598,232.949200913242,57.01986301369863,320.32465753424657
10,37.09270145,-106.11238682,231.49486301369862,56.51141552511415,315.50673515981737
11,37.09270145,-105.83163766,230.348401826484,56.724543378995435,311.7150684931507
12,37.09270145,-105.5508885,229.70924657534246,56.86666666666667,308.57819634703196
13,37.09270145,-105.27013934,226.76963470319635,62.957077625570776,303.68801369863013
14,37.09270145,-104.98939018,218.5146118721461,60.195205479452056,293.1477168949772
15,37.09270145,-104.70864102,216.1255707762557,58.97568493150685,285.75045662100456
16,37.09270145,-104.42789186,220.92659817351597,58.81358447488584,294.7558219178082
17,37.09270145,-104.1471427,219.81449771689498,56.843835616438355,289.4131278538813
18,37.09270145,-103.86639354,221.34383561643835,56.29337899543379,290.8038812785388
19,37.09270145,-103.58564437999999,223.5437214611872,55.182534246575344,297.70696347031964
20,37.09270145,-103.30489521999999,223.68881278538814,53.90559360730594,297.3263698630137
21,37.09270145,-103.02414605999999,221.9478310502283,53.586529680365295,293.67157534246576
22,37.09270145,-102.7433969,224.3107305936073,52.75410958904109,298.125
23,37.09270145,-102.46264774,223.10216894977168,52.97785388127854,294.92739726027395
24,37.09270145,-102.18189858,222.91175799086759,52.58093607305936,294.4912100456621
25,37.29325235,-108.91987842,233.51780821917808,49.074543378995436,325.4828767123288
