,lat,lon,AVG_ghi,AVG_dhi,AVG_dni
0,48.1412949,-124.474002135,130.9560502283105,54.6,153.12477168949772
1,40.185691059999996,-123.89587040500001,204.55981735159818,51.42488584474886,271.27853881278537
2,40.6829163,-123.89587040500001,198.29657534246576,51.14406392694064,266.7074200913242
3,41.180141539999994,-123.89587040500001,196.89326484018264,51.14965753424657,263.3608447488584
4,41.67736678,-123.89587040500001,194.34440639269405,50.26335616438356,261.26027397260276
5,42.17459202,-123.89587040500001,193.85171232876712,48.58573059360731,265.43858447488583
6,42.67181726,-123.89587040500001,184.90844748858447,52.7222602739726,242.32545662100458
7,43.1690425,-123.89587040500001,173.03344748858447,52.82865296803653,224.34965753424657
8,43.666267739999995,-123.89587040500001,165.899200913242,55.79052511415525,205.73824200913242
9,44.16349298,-123.89587040500001,161.99954337899544,54.22865296803653,200.56849315068493
10,44.66071822,-123.89587040500001,158.8433789954338,55.227397260273975,194.48584474885845
11,45.15794346,-123.89587040500001,156.36655251141553,54.37420091324201,190.16187214611872
12,45.6551687,-123.89587040500001,155.3117579908676,54.66164383561644,186.7173515981735
13,46.152393939999996,-123.89587040500001,146.79326484018264,57.3898401826484,167.312899543379
14,46.64961918,-123.89587040500001,145.7544520547945,57.3222602739726,168.53276255707763
15,47.146844419999994,-123.89587040500001,141.18995433789954,54.79269406392694,167.69646118721462
16,47.64406966,-123.89587040500001,136.73036529680365,52.860045662100454,164.7554794520548
17,48.1412949,-123.89587040500001,144.94509132420092,57.020890410958906,169.08949771689498
18,38.69401534,-123.317738675,217.84577625570776,51.51609589041096,293.69052511415526
19,39.19124058,-123.317738675,217.22477168949771,51.94897260273972,294.25456621004565
20,39.68846582,-123.317738675,212.95570776255707,53.69497716894977,285.03938356164383
21,40.185691059999996,-123.317738675,209.8439497716895,52.760844748858446,284.34600456621007
22,40.6829163,-123.317738675,210.562899543379,51.27625570776256,289.30890410958904
23,41.180141539999994,-123.317738675,203.1019406392694,53.12465753424657,272.5239726027397
24,41.67736678,-123.317738675,206.1802511415525,50.21940639269406,283.06723744292236
25,42.17459202,-123.317738675,198.53824200913243,52.74805936073059,264.29954337899545
26,42.67181726,-123.317738675,189.3192922374429,53.3689497716895,248.2691780821918
27,43.1690425,-123.317738675,177.78276255707763,55.75890410958904,222.98584474885845
28,43.666267739999995,-123.317738675,171.7404109589041,55.50034246575343,212.9437214611872
29,44.16349298,-123.317738675,169.58550228310503,55.79269406392694,208.99714611872147
30,44.66071822,-123.317738675,165.23664383561643,55.861529680365294,203.46518264840182
31,45.15794346,-123.317738675,163.16118721461189,56.12374429223744,199.72465753424657
32,45.6551687,-123.317738675,155.76495433789955,56.72785388127854,188.22077625570776
33,46.152393939999996,-123.317738675,147.30319634703196,54.820205479452056,176.385502283105
34,46.64961918,-123.317738675,142.25114155251143,56.95525114155251,166.91495433789953
35,47.146844419999994,-123.317738675,145.8881278538813,56.07842465753425,171.9466894977169
36,47.64406966,-123.317738675,159.46917808219177,58.46027397260274,199.4738584474886
37,38.1967901,-122.739606945,219.7769406392694,54.144520547945206,290.9450913242009
38,38.69401534,-122.739606945,216.6607305936073,53.468949771689495,290.1156392694064
39,39.19124058,-122.739606945,220.27237442922373,50.760616438356166,303.2639269406393
40,39.68846582,-122.739606945,215.78207762557076,54.117009132420094,293.40353881278537
41,40.185691059999996,-122.739606945,208.7329908675799,53.45753424657534,281.53527397260274
42,40.6829163,-122.739606945,212.95844748858448,50.07979452054794,294.14703196347034
43,41.180141539999994,-122.739606945,214.0560502283105,51.709817351598176,298.98595890410957
44,41.67736678,-122.739606945,210.41632420091324,50.15536529680365,295.01632420091323
45,42.17459202,-122.739606945,198.01632420091323,52.069063926940636,265.8643835616438
46,42.67181726,-122.739606945,191.38938356164383,52.7208904109589,252.1796803652968
47,43.1690425,-122.739606945,191.53481735159818,51.2351598173516,261.9283105022831
48,43.666267739999995,-122.739606945,179.46906392694063,52.32853881278539,237.61141552511415
49,44.16349298,-122.739606945,166.723401826484,53.11244292237443,211.0969178082192
50,44.66071822,-122.739606945,160.2019406392694,54.92876712328767,194.44680365296804
51,45.15794346,-122.739606945,160.30388127853882,55.8425799086758,193.41187214611872
52,45.6551687,-122.739606945,152.91449771689497,55.13367579908676,180.8667808219178
53,46.152393939999996,-122.739606945,145.0033105022831,54.71541095890411,172.537100456621
54,46.64961918,-122.739606945,144.38881278538813,55.46609589041096,171.0296803652968
55,47.64406966,-122.739606945,144.56301369863013,55.09714611872146,170.39189497716896
56,37.20233962,-122.16147521500001,221.42317351598174,53.05079908675799,295.2972602739726
57,37.699564859999995,-122.16147521500001,217.73070776255707,55.86792237442923,281.98687214611874
58,38.1967901,-122.16147521500001,223.38116438356164,54.595319634703195,297.28504566210046
59,38.69401534,-122.16147521500001,225.0678082191781,51.906392694063925,306.86803652968035
60,39.19124058,-122.16147521500001,219.8472602739726,54.32659817351598,290.85319634703194
61,39.68846582,-122.16147521500001,216.5269406392694,54.07682648401826,286.61004566210045
62,40.185691059999996,-122.16147521500001,211.9011415525114,53.24543378995434,281.84680365296805
63,40.6829163,-122.16147521500001,207.81141552511414,50.10034246575343,281.41746575342466
64,41.180141539999994,-122.16147521500001,208.79634703196348,49.27488584474886,290.5360730593607
65,41.67736678,-122.16147521500001,216.75970319634703,49.06506849315068,308.58470319634705
66,42.17459202,-122.16147521500001,210.41655251141552,49.94372146118722,295.4912100456621
67,42.67181726,-122.16147521500001,208.71027397260275,51.54029680365297,293.8632420091324
