,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,674758,-,-,-,30.17,-97.86,0,237,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.2.0
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,1,1,0,30,0,0,0,1.1,9.3,100.43,992,59.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020,1,1,1,30,0,0,0,1.1,8.8,112.79,992,60.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020,1,1,2,30,0,0,0,1.1,8.3,125.49000000000001,993,61.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020,1,1,3,30,0,0,0,1.1,7.7,138.4,992,63.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020,1,1,4,30,0,0,0,1.1,7.300000000000001,151.34,992,64.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020,1,1,5,30,0,0,0,1.1,6.9,163.9,991,65.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020,1,1,6,30,0,0,0,1.1,6.6000000000000005,172.78,991,66.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020,1,1,7,30,0,0,0,1.1,6.4,165.74,990,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020,1,1,8,30,0,0,0,1,6.4,153.34,990,68.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020,1,1,9,30,0,0,0,0.9,6.5,140.42000000000002,989,69.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020,1,1,10,30,0,0,0,0.9,7,127.5,989,69.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020,1,1,11,30,0,0,0,0.9,7.5,114.74000000000001,989,68.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2020,1,1,12,30,0,0,0,1.1,7.800000000000001,102.32000000000001,989,68.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2020,1,1,13,30,2,2,0,1.5,8.4,89.86,989,65.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020,1,1,14,30,49,49,0,2.2,9.3,79.16,990,57.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020,1,1,15,30,36,36,0,2.9000000000000004,10.3,69.22,990,48.910000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2020,1,1,16,30,50,50,0,3.3000000000000003,11.5,61.03,989,44.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020,1,1,17,30,182,171,20,3.7,12.8,55.4,987,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,1,1,18,30,100,100,0,4.1000000000000005,13.600000000000001,53.17,986,44.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2020,1,1,19,30,61,61,0,4.3,14.100000000000001,54.77,984,51.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020,1,1,20,30,69,69,0,4.2,14,59.89,983,58.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2020,1,1,21,30,42,42,0,3.7,13.4,67.72,983,66.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020,1,1,22,30,37,37,0,2.8000000000000003,12.200000000000001,77.42,982,76.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2020,1,1,23,30,5,5,0,2.2,11.4,88.18,982,85.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020,1,2,0,30,0,0,0,1.2000000000000002,10.4,100.3,981,94.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020,1,2,1,30,0,0,0,1,10.200000000000001,112.66,981,98.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020,1,2,2,30,0,0,0,1.5,10.4,125.36,982,98.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2020,1,2,3,30,0,0,0,2.2,10.5,138.27,981,98.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2020,1,2,4,30,0,0,0,2.6,10.700000000000001,151.21,981,97.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2020,1,2,5,30,0,0,0,2.7,10.9,163.77,980,96.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020,1,2,6,30,0,0,0,2.2,10.8,172.68,980,96.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020,1,2,7,30,0,0,0,2.1,10.700000000000001,165.79,979,96.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020,1,2,8,30,0,0,0,2,10.700000000000001,153.41,979,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2020,1,2,9,30,0,0,0,1.5,10.4,140.5,978,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2020,1,2,10,30,0,0,0,1.4000000000000001,10.200000000000001,127.57000000000001,977,99.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2020,1,2,11,30,0,0,0,1.5,10.200000000000001,114.81,977,99.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2020,1,2,12,30,0,0,0,1.4000000000000001,10.100000000000001,102.37,977,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2020,1,2,13,30,2,2,0,2,10.600000000000001,89.91,977,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2020,1,2,14,30,35,35,1,2.6,11.600000000000001,79.19,977,93.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2020,1,2,15,30,64,63,2,2.9000000000000004,12.9,69.23,978,88.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2020,1,2,16,30,50,50,0,3.4000000000000004,14.4,61.01,978,82.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
